-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
-0,0,-0,0,0,0
91.141,0.162921,89.5213,-0.146947,-0.230348,-0.351427
